Station (alphabetical by borough)	2013	2014	2015	2016	2017	2018	2017-2018 Change	2017-2018 Change	2018 Rank	LINE
Hewes St  	"2,859"	"2,859"	"2,992"	"2,866"	"2,861"	"2,782"	-79	-2.80%	374	J-M
High St  	"7,543"	"8,174"	"8,479"	"8,701"	"9,215"	"10,281"	"1,066"	11.60%	155	A-C
Hoyt St  	"6,657"	"7,138"	"7,342"	"7,615"	"7,637"	"6,938"	-699	-9.20%	221	3-Feb
Hoyt-Schermerhorn    Sts   	"9,604"	"9,672"	"9,818"	"9,894"	"10,319"	"10,540"	221	2.10%	148	A-C-G
Jay    St-MetroTech    	"40,183"	"41,405"	"43,456"	"44,267"	"43,833"	"42,274"	"-1,559"	-3.60%	21	A-C-F-R
Jefferson St 	"6,612"	"7,230"	"7,565"	"7,639"	"7,807"	"7,674"	-133	-1.70%	196	L
Junius St *	"2,206"	"2,361"	"3,043"	"2,230"	970	"2,080"	"1,110"	114.40%	393	3
Kings Hwy  	"18,799"	"19,010"	"19,500"	"20,094"	"19,975"	"19,569"	-406	-2.00%	72	B-Q
Kings Hwy 	"3,655"	"3,616"	"3,726"	"4,637"	"5,186"	"4,567"	-619	-11.90%	307	F
Kings Hwy  *	"5,154"	"5,344"	"5,482"	"1,489"	"2,891"	"3,328"	437	15.10%	351	N
Kingston Av 	"4,949"	"5,017"	"4,999"	"4,977"	"4,703"	"4,623"	-80	-1.70%	304	3
Kingston-Throop    Avs 	"5,678"	"5,968"	"6,210"	"6,350"	"6,564"	"6,585"	21	0.30%	232	C
Knickerbocker    Av *	"3,429"	"3,806"	"4,104"	"4,228"	"2,077"	"2,446"	369	17.80%	384	M
Kosciuszko St 	"4,751"	"4,761"	"4,927"	"5,118"	"6,143"	"6,144"	1	0.00%	246	J
Lafayette Av  	"4,825"	"4,857"	"4,849"	"4,888"	"4,843"	"4,889"	46	0.90%	289	C
Liberty Av 	"2,658"	"2,639"	"2,780"	"3,020"	"2,933"	"2,754"	-179	-6.10%	375	C
Livonia Av 	"2,959"	"3,078"	"3,269"	"3,418"	"3,264"	"3,209"	-55	-1.70%	357	L
Lorimer St  	"4,796"	"4,836"	"5,070"	"5,138"	"5,161"	"4,837"	-324	-6.30%	293	J-M
